country_code,code,name,active
CN,20,Inner Mongolia,true
CN,04,Jiangsu,true
CN,03,Jiangxi,true
CN,05,Jilin,true
CN,19,Liaoning,true
CN,21,Ningxia,true
CN,06,Qinghai,true
CN,26,Shaanxi,true
CN,25,Shandong,true
CN,23,Shanghai,true
CN,24,Shanxi,true
CN,32,Sichuan,true
CN,28,Tianjin,true
CN,14,Tibet,true
CN,13,Xinjiang,true
CN,29,Yunnan,true
CN,02,Zhejiang,true
CO,01,Amazonas Department,true
CO,02,Antioquia,true
CO,03,Arauca Department,true
CO,04,Atlántico,true
CO,34,Bogota D.C.,true
CO,35,Bolívar,true
CO,36,Boyacá,true
CO,37,Caldas Department,true
CO,08,Caquetá,true
CO,32,Casanare Department,true
CO,09,Cauca Department,true
CO,10,Cesar Department,true
CO,11,Chocó,true
CO,33,Cundinamarca,true
CO,12,Córdoba,true
CO,15,Guainía Department,true
CO,14,Guaviare Department,true
CO,16,Huila Department,true
CO,17,La Guajira Department,true
CO,38,Magdalena Department,true
CO,19,Meta Department,true
CO,20,Nariño,true
CO,21,Norte de Santander Department,true
CO,22,Putumayo Department,true
CO,23,Quindío Department,true
CO,24,Risaralda Department,true
CO,25,San Andres y Providencia,true
CO,26,Santander Department,true
CO,27,Sucre Department,true
CO,28,Tolima Department,true
CO,29,Valle del Cauca Department,true
CO,30,Vaupés,true
CO,31,Vichada Department,true
CR,01,Alajuela Province,true
CR,02,Cartago Province,true
CR,03,Guanacaste Province,true
CR,04,Heredia Province,true
CR,06,Limón Province,true
CR,07,Puntarenas Province,true
CR,08,San José,true
CU,AR,Artemisa,true
CU,05,Camagüey,true
CU,07,Ciego de Ávila Province,true
CU,08,Cienfuegos Province,true
CU,09,Granma Province,true
CU,10,Guantánamo Province,true
CU,02,Havana,true
CU,12,Holguín Province,true
CU,04,Isla de la Juventud,true
CU,13,Las Tunas Province,true
CU,03,Matanzas Province,true
CU,MA,Mayabeque,true
CU,01,Pinar del Río,true
CU,14,Sancti Spíritus Province,true
CU,15,Santiago de Cuba Province,true
CU,16,Villa Clara Province,true
CV,01,Boa Vista,true
CV,02,Brava,true
CV,04,Maio,true
CV,13,Mosteiros,true
CV,05,Paul,true
CV,21,Porto Novo,true
CV,14,Praia,true
CV,22,Ribeira Brava,true
CV,07,Ribeira Grande,true
CV,23,Ribeira Grande de Santiago,true
CV,08,Sal,true
CV,15,Santa Catarina,true
CV,24,Santa Catarina do Fogo,true
CV,16,Santa Cruz,true
CV,17,São Domingos,true
CV,18,São Filipe,true
CV,25,São Lourenço dos Órgãos,true
CV,19,São Miguel,true
CV,26,São Salvador do Mundo,true
CV,11,São Vicente,true
CV,20,Tarrafal,true
CV,27,Tarrafal de São Nicolau,true
CY,01,Ammochostos,true
CY,02,Keryneia,true
CY,03,Larnaka,true
CY,05,Limassol,true
CY,04,Nicosia,true
CY,06,Pafos,true
CZ,88,Central Bohemia,true
CZ,79,Jihočeský kraj,true
CZ,81,Karlovarský kraj,true
CZ,82,Královéhradecký kraj,true
CZ,83,Liberecký kraj,true
CZ,85,Moravskoslezský,true
CZ,84,Olomoucký,true
CZ,86,Pardubický,true
CZ,87,Plzeň Region,true
CZ,52,Prague,true
CZ,78,South Moravian,true
CZ,80,Vysočina,true
CZ,90,Zlín,true
CZ,89,Ústecký kraj,true
DE,01,Baden-Wurttemberg,true
DE,02,Bavaria,true
DE,11,Brandenburg,true
DE,03,City state Bremen,true
DE,04,Hamburg,true
DE,05,Hesse,true
DE,06,Lower Saxony,true
DE,12,Mecklenburg-Vorpommern,true
DE,07,North Rhine-Westphalia,true
DE,08,Rheinland-Pfalz,true
DE,09,Saarland,true
DE,13,Saxony,true
DE,14,Saxony-Anhalt,true
DE,10,Schleswig-Holstein,true
DE,16,State of Berlin,true
DE,15,Thuringia,true
DJ,01,Ali Sabieh,true
DJ,08,Arta,true
DJ,06,Dikhil,true
DJ,07,Djibouti,true
DJ,04,Obock,true
DJ,05,Tadjourah,true
DK,17,Capital Region,true
DK,18,Central Jutland,true
DK,19,North Denmark,true
DK,21,South Denmark,true
DK,20,Zealand,true
DM,02,Saint Andrew Parish,true
DM,03,Saint David Parish,true
DM,04,Saint George Parish,true
DM,05,Saint John Parish,true
DM,06,Saint Joseph Parish,true
DM,07,Saint Luke Parish,true
DM,08,Saint Mark Parish,true
DM,09,Saint Patrick Parish,true
DM,10,Saint Paul Parish,true
DM,11,Saint Peter Parish,true
DO,01,Azua Province,true
DO,02,Baoruco Province,true
DO,03,Barahona Province,true
DO,04,Dajabón,true
DO,06,Duarte Province,true
DO,28,El Seíbo,true
DO,11,Elías Piña,true
DO,08,Espaillat Province,true
DO,29,Hato Mayor Province,true
DO,19,Hermanas Mirabal,true
DO,09,Independencia,true
DO,10,La Altagracia Province,true
DO,12,La Romana,true
DO,30,La Vega,true
DO,14,María Trinidad Sánchez,true
DO,31,Monseñor Nouel,true
DO,15,Monte Cristi Province,true
DO,32,Monte Plata Province,true
DO,34,Nacional,true
DO,16,Pedernales Province,true
DO,35,Peravia,true
DO,18,Puerto Plata,true
DO,20,Samaná,true
DO,33,San Cristóbal,true
DO,36,San José de Ocoa,true
DO,23,San Juan Province,true
DO,24,San Pedro de Macorís,true
DO,25,Santiago Province,true
DO,26,Santiago Rodríguez,true
DO,37,Santo Domingo Province,true
DO,21,Sánchez Ramírez,true
DO,27,Valverde Province,true
DZ,34,Adrar,true
DZ,01,Algiers,true
DZ,37,Annaba,true
DZ,35,Aïn Defla,true
DZ,36,Aïn Témouchent,true
DZ,03,Batna,true
DZ,BA,Beni Abbes,true
DZ,19,Biskra,true
DZ,20,Blida,true
DZ,BB,Bordj Badji Mokhtar,true
DZ,39,Bordj Bou Arréridj,true
DZ,21,Bouira,true
DZ,40,Boumerdes,true
DZ,38,Béchar,true
DZ,18,Béjaïa,true
DZ,41,Chlef,true
DZ,04,Constantine,true
DZ,DJ,Djanet,true
DZ,22,Djelfa,true
DZ,42,El Bayadh,true
DZ,EM,El Menia,true
DZ,MG,El Mghair,true
DZ,43,El Oued,true
DZ,44,El Tarf,true
DZ,45,Ghardaia,true
DZ,23,Guelma,true
DZ,46,Illizi,true
DZ,IG,In Guezzam,true
DZ,IS,In Salah,true
DZ,24,Jijel,true
DZ,47,Khenchela,true
DZ,25,Laghouat,true
DZ,27,M'Sila,true
DZ,26,Mascara,true
DZ,06,Medea,true
DZ,48,Mila,true
DZ,07,Mostaganem,true
DZ,49,Naama,true
DZ,09,Oran,true
DZ,50,Ouargla,true
DZ,OD,Ouled Djellal,true
DZ,29,Oum el Bouaghi,true
DZ,51,Relizane,true
DZ,10,Saida,true
DZ,30,Sidi Bel Abbès,true
DZ,31,Skikda,true
DZ,52,Souk Ahras,true
DZ,12,Sétif,true
DZ,53,Tamanrasset,true
DZ,13,Tiaret,true
DZ,TM,Timimoun,true
DZ,54,Tindouf,true
DZ,55,Tipaza,true
DZ,56,Tissemsilt,true
DZ,14,Tizi Ouzou,true
DZ,15,Tlemcen,true
DZ,TG,Touggourt,true
DZ,33,Tébessa,true
EC,02,Azuay,true
EC,03,Bolívar,true
EC,05,Carchi,true
EC,04,Cañar,true
EC,06,Chimborazo Province,true
EC,07,Cotopaxi,true
EC,08,El Oro,true
EC,09,Esmeraldas,true
EC,01,Galápagos,true
EC,10,Guayas,true
EC,11,Imbabura,true
EC,12,Loja,true
EC,13,Los Ríos,true
EC,14,Manabí,true
EC,15,Morona-Santiago Province,true
EC,23,Napo,true
EC,24,Orellana Province,true
EC,17,Pastaza Province,true
EC,18,Pichincha,true
EC,25,Santa Elena,true
EC,26,Santo Domingo de los Tsáchilas,true
EC,22,Sucumbíos,true
EC,19,Tungurahua Province,true
EC,20,Zamora Chinchipe,true
EE,01,Harjumaa,true
EE,02,Hiiumaa,true
EE,03,Ida-Virumaa,true
EE,04,Järvamaa,true
EE,05,Jõgevamaa,true
EE,07,Lääne,true
EE,08,Lääne-Virumaa,true
EE,11,Pärnumaa,true
EE,12,Põlvamaa,true
EE,13,Raplamaa,true
EE,14,Saare,true
EE,18,Tartu,true
EE,19,Valgamaa,true
EE,20,Viljandimaa,true
EE,21,Võrumaa,true
EG,06,Alexandria,true
EG,16,Aswan,true
EG,17,Asyut,true
EG,03,Beheira,true
EG,18,Beni Suweif,true
EG,11,Cairo,true
EG,01,Dakahlia,true
EG,20,Damietta,true
EG,04,Faiyum,true
EG,05,Gharbia,true
EG,08,Giza,true
EG,07,Ismailia,true
EG,21,Kafr el-Sheikh,true
EG,28,Luxor,true
EG,22,Matruh,true
EG,10,Minya,true
EG,09,Monufia,true
EG,13,New Valley,true
EG,27,North Sinai,true
EG,19,Port Said,true
EG,12,Qalyubia,true
EG,23,Qena,true
EG,02,Red Sea,true
EG,14,Sharqia,true
EG,24,Sohag,true
EG,26,South Sinai,true
